"uniqueID","stream","site_type","date_MI_sampling","identified_taxa","lowest_level_identified","phylum","subphylum","class","order","family","tribe_subfamily","genus","species","number_of_kicks","abundance_absolut"
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,1
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,10,0
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Adicella sp.","G","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella",NA,5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,7
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,1
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,0
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",10,0
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,1
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Adicella reducta","S","Arthropoda","Hexapoda","Insecta","Trichoptera","Leptoceridae",NA,"Adicella","Adicella reducta",5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,1
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,0
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,105
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,1
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",10,0
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,2
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,2
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Ancylus fluviatilis","S","Mollusca",NA,"Gastropoda","Pulmonata","Planorbidae",NA,"Ancylus ","Ancylus fluviatilis",5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,202
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",10,0
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Aphelocheirus aestivalis","S","Arthropoda","Hexapoda","Insecta","Hemiptera","Aphelocheiridae",NA,"Aphelocheirus","Aphelocheirus aestivalis",5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",10,74
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Asellus aquaticus","S","Arthropoda","Crustacea","Malacostraca","Isopoda","Asellidae",NA,"Asellus","Asselus aquaticus",5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,0
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,1
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,12
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,0
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,2
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,0
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",10,3
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,1
"Modenbach_edge_03.06.2019","Modenbach","edge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,3
"Hainbach_refuge_03.06.2019","Hainbach","refuge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,17
"Hainbach_edge_03.06.2019","Hainbach","edge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,10
"Otterbach_refuge_05.06.2019","Otterbach","refuge","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,2
"Otterbach_edge_05.06.2019","Otterbach","edge","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,4
"Triefenbach_refuge_03.06.2019","Triefenbach","refuge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,6
"Triefenbach_edge_03.06.2019","Triefenbach","edge","03.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,0
"Russbach_refuge_05.06.2019","Russbach","refuge","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,0
"Russbach_edge_05.06.2019","Russbach","edge","05.06.2019","Baetis rhodani","S","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis","Baetis rhodani",5,0
"Triefenbach_agriculture_04.06.2019","Triefenbach","agriculture","04.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,18
"Otterbach_agriculture_05.06.2019","Otterbach","agriculture","05.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,31
"Modenbach_agriculture_03.06.2019","Modenbach","agriculture","03.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,81
"Modenbach_refuge_03.06.2019","Modenbach","refuge","03.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,113
"Kropsbach_agriculture_04.06.2019","Kropsbach","agriculture","04.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,13
"Russbach_agriculture_05.06.2019","Russbach","agriculture","05.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,8
"Hainbach_agriculture_03.06.2019","Hainbach","agriculture","03.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,10,300
"Kropsbach_refuge_04.06.2019","Kropsbach","refuge","04.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,5,0
"Kropsbach_edge_04.06.2019","Kropsbach","edge","04.06.2019","Baetis sp.","G","Arthropoda","Hexapoda","Insecta","Ephemeroptera","Baetidae",NA,"Baetis",NA,5,2
