"group","family","genus","taxa_link","Rang","sensitivity","generation_time","refuge","exposition"
"Ephemeroptera","Arthropleidae","Arthropleinae","Arthropleinae Gen. sp.","genus",-0.3,1,1,1
"Ephemeroptera","Baetidae","Baetidae","Baetidae Gen. sp.","family",-0.25,0.5,1,1
"Ephemeroptera","Baetidae","Baetis","Baetis sp.","genus",0.02,0.5,1,0
"Ephemeroptera","Behningiidae","Behningia","Behningia sp.","genus",-0.3,1,1,1
"Ephemeroptera","Behningiidae","Behningia","Behningia ulmeri","species",-0.3,1,1,1
"Ephemeroptera","Behningiidae","Behningiidae","Behningiidae Gen. sp.","family",-0.3,1,1,1
"Ephemeroptera","Caenidae","Brachycercus","Brachycercus europaeus","species",-0.3,0.75,1,1
"Ephemeroptera","Caenidae","Brachycercus","Brachycercus harrisella","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Brachycercus","Brachycercus kabyliensis","species",-0.3,0.75,1,1
"Ephemeroptera","Caenidae","Brachycercus","Brachycercus sp.","genus",-0.3,0.75,1,1
"Ephemeroptera","Caenidae","Brachycerinae","Brachycerinae Gen. sp.","genus",-0.3,0.88,1,1
"Ephemeroptera","Caenidae","Caenidae","Caenidae Gen. sp.","family",-0.3,0.88,1,1
"Ephemeroptera","Caenidae","Caeninae","Caeninae Gen. sp.","genus",-0.3,0.88,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis belfiorei","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis beskidensis","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis beskidensis/belfiorei","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis beskidensis/pseudorivulorum","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis horaria","species",-0.3,0.5,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis horaria/robusta","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis lactea","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa/macrura","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis macrura","species",-0.3,0.5,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis macrura-Gr.","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis macrura/martae","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis martae","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis miliaria","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis nachoi","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis pseudorivulorum","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis pusilla","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis rivulorum","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis robusta","species",-0.3,0.5,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis sp.","genus",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis strugaensis","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Caenis","Caenis valentinae","species",-0.3,1,1,1
"Ephemeroptera","Caenidae","Cercobrachys","Cercobrachys minutus","species",-0.3,0.88,1,1
"Ephemeroptera","Caenidae","Cercobrachys","Cercobrachys sp.","genus",-0.3,0.88,1,1
"Ephemeroptera","Ephemerellidae","Ephemerellidae","Ephemerellidae Gen. sp.","family",-0.3,1,0,1
"Ephemeroptera","Ephemeridae","Ephemeridae","Ephemeridae Gen. sp.","family",-0.3,2,0,1
"Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemeroptera Gen. sp.","group",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Afghanurus","Afghanurus joernensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Afghanurus","Afghanurus sp.","genus",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Cinygma","Cinygma lyriformis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Cinygma","Cinygma sp.","genus",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus abracadabrus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus alpinus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus androsianus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus angelieri","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus aspersus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus aurantiacus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus austriacus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus baeticus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus belfiorei","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus bellieri","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus carpathicus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus codinai","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus corsicus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus cortensis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus dispar","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus dispar/submontanus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus diversus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus epeorides","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus excelsus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus flavimanus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus fluminum var. speciosa","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus forcipula","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus graecus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus helveticus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus helveticus-Gr.","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus helveticus/zelleri","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus insignis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus krueperi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus macani","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus macani/torrentis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus moreae","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus olgae","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus parahelveticus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus picteti","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus puma","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus ruffoi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus russevi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus siveci","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus sp.","genus",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus starmachi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus subalpinus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus submontanus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus torrentis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus torrentis/venosus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus venosus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus venosus-Gr.","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus vicinus","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus vitoshensis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus zelleri","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena affinis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena antalyensis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena aspoecki","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena braaschi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena calabra","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena fallax","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena grandiae","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena gridellii","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena hellenica","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena hyblaea","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena lateralis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena lateralis/quadrilineata","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena lunaris","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena macedonica","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena malickyi","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena ozrensis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena quadrilineata","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena samalorum","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena sp.","genus",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena trimaculata","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena ujhelyii","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena vipavensis","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Electrogena","Electrogena zebrata","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus alexandri","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus alpicola","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus assimilis","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus maculatus","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus pellucidus","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus sp.","genus",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus sylvicola","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus torrentium","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus yougoslavicus","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Epeorus","Epeorus znojkoi","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia coerulans","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia dalecarlica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia flava","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia flava/longicauda","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia longicauda","species",-0.3,0.5,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia samochai","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia sp.","genus",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptagenia","Heptagenia sulphurea","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Heptageniidae","Heptageniidae Gen. sp.","family",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Heptageniinae","Heptageniinae Gen. sp.","genus",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Kageronia","Kageronia fuscogrisea","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Kageronia","Kageronia orbiticola","species",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Kageronia","Kageronia sp.","genus",-0.3,1,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena adrianae","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena allobrogica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena alpestris","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena alpestris-Gr.","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena austriaca","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena austriaca/degrangei","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena beskidensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena braaschi","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena bulgarica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena buresi","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena carpatoalpina","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena carpatoalpina/iridina/picteti","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena castellana","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena catalaunica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena cava","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena cincta","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena circumtatrica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena circumtatrica/gratianopolitana","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena colmarsensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena corcontica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena daterrai","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena degrangei","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena delphinensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena diaphana","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena diaphana-Gr.","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena diensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena dorieri","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena eatoni","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena endenensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena endenensis/puthzi","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena fiorii","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena fonticola","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena germanica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena goeldlini","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena gorganica","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena gorrizi","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena gratianopolitana","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena gratianopolitana/podhalensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena grischuna","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hercegovina","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hercynia","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hercynia-Gr.","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hercynia/gratianapolitana/podhalensis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hybrida","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena hybrida-Gr.","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena insularis","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena iridina","species",-0.3,0.75,1,1
"Ephemeroptera","Heptageniidae","Rhithrogena","Rhithrogena iridina/picteti","species",-0.3,0.75,1,1
